laser_power,time_elapsed
587.9230268490653,0.176
588.7249691960977,0.178
589.5205887840723,0.18
590.3098343912833,0.182
591.0926554231055,0.184
591.8690019169405,0.186
592.6388245471003,0.188
593.4020746296251,0.19
594.1587041270398,0.192
594.9086656530442,0.194
595.6519124771382,0.196
596.3883985291824,0.198
597.118078403891,0.2
597.8409073652601,0.202
598.5568413509286,0.20400000000000001
599.2658369764707,0.20600000000000002
599.9678515396218,0.20800000000000002
600.6628430244363,0.21
601.3507701053758,0.212
602.0315921513294,0.214
602.705269229564,0.216
603.3717621096046,0.218
604.0310322670452,0.22
604.6830418872888,0.222
605.3277538692159,0.224
605.9651318287827,0.226
606.5951401025462,0.228
607.21774375112,0.23
607.8329085625537,0.232
608.4406010556438,0.234
609.0407884831687,0.23600000000000002
609.6334388350513,0.23800000000000002
610.2185208414483,0.24
610.796003975765,0.242
611.3658584575959,0.244
611.9280552555913,0.246
612.4825660902478,0.248
613.0293634366253,0.25
613.5684205269873,0.252
614.0997113533663,0.254
614.6232106700523,0.256
615.1388939960068,0.258
615.6467376171987,0.26
616.1467185888646,0.262
616.6388147376915,0.264
617.1230046639237,0.266
617.5992677433902,0.268
618.0675841294574,0.27
618.5279347549013,0.272
618.9803013337039,0.274
619.4246663627707,0.276
619.86101312357,0.278
620.2893256836938,0.28
620.7095888983403,0.28200000000000003
621.1217884117175,0.28400000000000003
621.5259106583683,0.28600000000000003
621.9219428644162,0.28800000000000003
622.3098730487324,0.29
622.689690024023,0.292
623.0613833978379,0.294
623.4249435734988,0.296
623.7803617509496,0.298
624.1276299275253,0.3
624.4667408986428,0.302
624.7976882584106,0.304
625.12046640016,0.306
625.4350705168954,0.308
625.7414966016651,0.31
626.0397414478525,0.312
626.3298026493866,0.314
626.6116786008735,0.316
626.8853684976466,0.318
627.1508723357382,0.32
627.4081909117699,0.322
627.6573258227643,0.324
627.8982794658748,0.326
628.1310550380379,0.328
628.3556565355439,0.33
628.5720887535272,0.332
628.7803572853795,0.334
628.9804685220805,0.336
629.1724296514498,0.338
629.3562486573196,0.34
629.531934318628,0.342
629.699496208432,0.34400000000000003
629.8589446928414,0.34600000000000003
630.0102909298744,0.34800000000000003
630.1535468682328,0.35000000000000003
630.288725245999,0.352
630.4158395892543,0.354
630.5349042106178,0.356
630.6459342077067,0.358
630.7489454615192,0.36
630.843954634738,0.362
630.9309791699568,0.364
631.0100372878273,0.366
631.0811479851303,0.368
631.1443310327683,0.37
631.1996069736804,0.372
631.2469971206812,0.374
631.2865235542216,0.376
631.318209120074,0.378
631.3420774269406,0.38
631.3581528439845,0.382
631.3664604982873,0.384
631.3670262722278,0.386
631.3598768007882,0.388
631.3450394687837,0.39
631.3225424080166,0.392
631.292414494357,0.394
631.2546853447493,0.396
631.2093853141431,0.398
631.156545492352,0.4
631.0961977008385,0.402
631.0283744894255,0.404
630.9531091329346,0.406
630.8704356277544,0.40800000000000003
630.7803886883335,0.41000000000000003
630.6830037436036,0.41200000000000003
630.5783169333317,0.41400000000000003
630.4663651043994,0.41600000000000004
630.3471858070134,0.418
630.2208172908455,0.42
630.087298501101,0.422
629.9466690745206,0.424
629.7989693353103,0.426
629.6442402910048,0.428
629.4825236282614,0.43
629.3138617085866,0.432
629.1382975639953,0.434
628.9558748926028,0.436
628.7666380541509,0.438
628.5706320654672,0.44
628.3679025958585,0.442
628.1584959624407,0.444
627.9424591254025,0.446
627.7198396832049,0.448
627.4906858677182,0.45
627.2550465392942,0.452
627.0129711817772,0.454
626.7645098974513,0.456
626.5097134019268,0.458
626.2486330189656,0.46
625.9813206752452,0.462
625.7078288950624,0.464
625.4282107949789,0.466
625.142520078405,0.468
624.8508110301277,0.47000000000000003
624.5531385107789,0.47200000000000003
624.2495579512465,0.47400000000000003
623.9401253470287,0.47600000000000003
623.6248972525323,0.47800000000000004
623.3039307753145,0.48
622.9772835702701,0.482
622.6450138337634,0.484
622.3071802977074,0.486
621.9638422235874,0.488
621.615059396434,0.49
621.2608921187422,0.492
620.9014012043399,0.494
620.5366479722048,0.496
620.1666942402313,0.498
619.791602318947,0.5
619.4114350051805,0.502
619.0262555756809,0.504
